	#	$	''	(	)	,	.	:	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
Inc.	-27.937813	-12.579124	-42.292835	-27.218992	-24.790348	-26.967072	-12.329344	-8.117861	-10.493294	-19.752068	-24.840414	-30.379612	-8.790394	-6.128186	-2.723759	-21.480858	-37.105034	-20.620808	0.347802	10.953741	-8.380993	-6.966749	-34.710464	-30.138386	-4.992886	-9.294423	-11.451505	-32.113567	-40.878948	-22.692240	-22.822346	-28.535309	-19.474333	-4.492333	-15.049891	-23.600382	-13.810830	-8.640276	-11.326799	-26.248594	-13.182014	-25.082647	-24.733084	-15.599326
connection	-27.235723	-23.058342	-26.764662	-32.095707	-26.170130	-26.032269	-22.600452	-28.309599	-17.722742	-10.360347	-24.885227	-26.473637	-5.789758	-12.126820	3.231691	-17.488508	-18.694994	-22.251654	9.125371	-13.089803	-29.537603	-3.939923	-21.941040	-29.872995	-17.445395	-28.641153	-5.672866	-28.383728	-21.375029	-17.883623	-23.105522	-27.072693	-29.242439	3.556183	-3.955045	-5.476189	-2.448946	1.490843	-13.671255	-18.428360	-23.140858	-28.637611	-28.929825	-26.398094
sale	-21.250772	-24.185980	-25.894592	-24.102921	-25.646395	-18.434570	-20.295155	-25.942541	-22.532879	-8.760171	-14.589562	-24.512083	-22.793036	-17.997471	5.464684	-8.008192	-9.646698	-25.709131	10.430948	-5.815211	-18.554449	-3.366575	-7.340869	-24.426418	-19.567717	-32.068668	-10.629709	-18.024069	-29.030447	-30.087162	-22.997931	-17.406115	-29.290606	4.643588	-7.934153	-11.658087	-11.641173	1.032511	-13.581687	-25.733089	-26.661343	-29.627384	-25.892313	-20.646961
Elizabeth	-20.748585	-10.840868	-22.328207	-16.843952	-15.565355	-21.699511	-25.317812	-19.161608	-16.721630	-18.392832	-3.223517	-26.674376	-18.561008	-9.429867	1.180401	-19.169201	-20.152439	-20.833166	1.681254	5.645484	-4.603141	-3.273624	-20.336405	-30.476301	-19.697510	-18.997746	0.165381	-21.928410	-31.957561	-19.191118	-15.463705	-23.873329	-11.970750	0.843811	-11.229597	-4.137716	-8.584125	-7.120931	-11.460853	-12.355416	-24.605991	-20.731714	-24.976570	-23.961803
Arden	-14.365260	-13.687447	-18.853054	-15.663845	-14.941694	-19.006514	-12.592064	-21.883177	-11.033240	-2.814236	-13.259278	-17.715345	-14.036499	-4.734975	2.144371	-11.080068	-21.132719	-18.611502	-0.711968	6.515378	-8.434658	-6.713848	-21.184578	-16.720831	-9.330538	-14.910595	-3.382312	-15.553327	-28.663185	-21.670444	-12.542663	-16.011639	-9.977538	-2.272299	-6.028255	-11.618545	-1.914120	-6.508663	-12.825194	-14.110522	-19.010490	-15.620279	-13.114021	-12.430262
1987	-28.656975	-10.547926	-34.049660	-24.089958	-29.369751	-24.920637	-17.500708	-22.679932	-23.389029	24.658230	-26.743664	-20.945559	-15.991784	-17.054758	2.583818	-20.539286	-31.531225	-55.019142	3.933600	4.982235	-11.589130	-3.322076	-34.258663	-31.306854	-8.416539	-10.697423	-7.657042	-33.007668	-41.255894	-35.918079	-21.683544	-25.676918	-21.061209	-1.794586	-9.321650	0.084368	-7.088030	-4.105040	-16.955738	-40.047249	-33.144348	-27.200350	-19.428545	-21.903732
proceeds	-25.866558	-11.476725	-28.294617	-20.895943	-20.584574	-19.815275	-23.728298	-20.819082	-21.830767	-17.875210	-13.626667	-20.747356	-5.301580	-12.814975	-5.086687	-13.776203	-20.472466	-29.026180	-1.746644	-13.456378	-15.814459	8.074267	-20.545385	-19.533148	-18.620779	-14.987076	-1.045890	-10.813394	-25.799959	-26.355618	-22.762318	-25.185150	-22.738710	-6.068747	-10.589524	-17.489948	-12.278378	-10.421426	6.764897	-20.408037	-31.213419	-23.243734	-32.905064	-16.243534
settlement	-21.679771	-17.242887	-25.000900	-23.503149	-26.446672	-23.675444	-25.836098	-24.155960	-24.337269	-16.881577	-20.248161	-29.359734	-15.932030	-13.002814	2.462027	-13.372080	-14.511960	-39.033554	9.437609	-3.356533	-22.102848	-4.717965	-20.789623	-19.863646	-6.338212	-33.980301	-5.772598	-19.577171	-18.315483	-23.791708	-20.900640	-21.527447	-29.916281	4.865576	-0.406381	-5.828596	-1.623631	0.124400	-10.896541	-34.690159	-24.698622	-25.711336	-30.639254	-22.641401
patent	-18.666334	-24.707623	-21.031702	-29.568296	-26.198694	-18.886282	-34.945148	-30.153126	-16.549532	-19.772890	-11.294418	-22.602726	-15.939025	-7.252223	3.185700	-19.691666	-8.576711	-19.750744	9.651787	-2.591357	-21.727371	-8.041149	-25.382120	-16.662659	-18.204865	-29.958857	-3.720473	-21.466633	-14.922287	-18.573963	-26.448654	-13.252799	-38.498581	3.638498	0.366613	-14.741282	1.220010	1.536342	-15.591967	-16.490580	-24.267693	-21.356892	-32.256523	-22.773396
litigation	-24.488613	-23.544909	-26.791788	-28.563963	-22.629639	-23.167398	-22.730135	-21.439310	-15.845283	-9.196333	-21.404541	-32.801476	-1.093679	-2.651666	4.172236	-17.384661	-11.592691	-33.283817	8.284517	-3.292905	-19.100710	-3.794572	-25.085711	-20.102325	-22.260059	-29.019819	-1.617235	-24.635700	-16.081160	-10.562610	-20.596924	-21.153185	-24.278811	0.283943	-6.520460	-6.419797	-4.649716	-1.987216	-19.490118	-16.678324	-24.401258	-26.655956	-32.141918	-20.885157
Hybritech	-43.112244	-18.498226	-39.622597	-34.438156	-19.867966	-29.797075	-40.923580	-30.893120	-32.341305	-21.612411	-24.662085	-27.916956	-29.028896	-29.565351	4.919372	-15.110066	-22.822079	-36.519611	-1.531378	9.814918	-4.344780	-1.698256	-41.789162	-38.122356	-15.085941	-13.581155	-10.240495	-21.267019	-49.126656	-38.377281	-32.927330	-38.743782	-22.237181	-5.163724	-14.748695	-10.512907	-8.457996	-14.830036	-18.276531	-35.392303	-34.437145	-41.754711	-22.623383	-32.373661
Third-quarter	-43.039154	-25.018785	-40.802368	-29.321707	-33.015263	-38.725506	-49.829300	-42.713432	-40.498737	-27.254618	-35.412327	-47.269718	-20.987707	-31.767326	17.573563	-16.350107	-33.018867	-72.998001	7.408181	7.540987	-20.900448	-13.593155	-47.627426	-50.767101	-32.324249	-40.805244	-5.953963	-30.545843	-51.097092	-42.937737	-42.678268	-40.265873	-53.488167	-3.047849	-10.257585	-38.065323	-11.365958	-6.455934	-38.996262	-46.754745	-47.238827	-52.729706	-65.173363	-39.462261
Indianapolis	-21.381371	-9.270994	-24.189850	-15.557218	-12.663042	-24.183329	-16.774546	-8.574107	-11.883642	-24.485271	-13.316130	-31.919781	-11.368772	-3.824077	0.866402	-7.210408	-15.562688	-26.862177	1.183320	6.783883	0.401338	0.565747	-19.208378	-18.831240	-14.627192	-11.424476	0.840537	-12.453710	-23.528259	-11.390206	-13.123205	-19.109337	-11.807148	-3.662716	-12.191175	-13.665629	-14.636519	-6.616842	-4.923696	-22.368177	-21.110855	-21.085281	-24.090778	-16.860546
Ind.	-25.697294	-17.305407	-36.419815	-25.359320	-18.522686	-24.477726	0.157854	-4.684659	-3.697113	-11.958053	-13.857499	-32.011482	-11.230046	-3.269794	-1.891697	-20.298563	-37.329479	-31.543718	0.244072	11.136237	-6.872876	-8.152195	-30.207336	-22.227791	-8.522110	-15.529405	-3.153489	-25.130064	-40.093662	-20.052021	-14.886851	-24.569218	-17.366819	-7.954430	-13.585419	-22.967672	-17.072481	-10.573014	-14.180200	-16.141024	-11.731336	-24.357944	-15.675900	-18.886656
11	-17.705626	-9.169254	-39.935593	-28.404757	-29.987057	-26.222940	-26.229944	-16.684866	-22.134602	21.484201	-17.339617	-33.984371	-25.915459	-13.203872	6.929735	-22.656883	-50.458389	-35.404938	1.313662	2.730761	-13.405608	-9.636178	-40.299561	-40.798992	-14.030401	-13.975445	-3.419173	-31.144091	-51.095760	-33.960342	-19.927635	-15.014520	-31.831968	-1.882747	-22.536484	-18.101145	-17.157244	-2.884211	-21.161140	-46.814671	-31.485632	-32.187805	-19.400141	-13.464248
1.045	-26.139801	-4.461214	-47.263702	-22.940884	-31.679041	-26.086842	-10.499980	-15.348968	-26.793249	22.470438	-27.137035	-29.190678	-25.934452	-18.918415	4.165074	-19.287270	-48.758053	-49.683632	-1.191036	6.579746	-5.113787	2.734950	-35.346046	-32.923733	-11.052872	-17.414211	-7.214126	-31.728802	-67.042419	-42.958412	-22.887905	-33.133362	-29.033115	-7.786689	-20.830067	-18.132488	-17.836464	-4.764660	-13.652699	-50.174690	-22.868963	-29.828270	-22.418106	-14.517857
940.6	-33.450645	-13.981091	-37.482330	-26.470608	-40.994019	-34.956188	-34.270794	-15.339775	-38.923130	28.038357	-26.565712	-34.754665	-9.212377	-23.973391	5.946040	-15.969814	-34.392616	-55.138550	7.818872	-5.969362	-23.649452	-2.003778	-36.581467	-49.601719	-21.105215	-32.834198	-9.215492	-30.260601	-40.805584	-37.593533	-24.012503	-22.632484	-44.794922	-2.249527	-8.841399	-3.425155	-7.762175	-5.678305	-22.143532	-50.411926	-41.078377	-28.861956	-29.743387	-22.783300
Nine-month	-38.070873	-18.448807	-39.724518	-31.335711	-19.009956	-34.949329	-31.493288	-26.664288	-23.608294	-4.708161	-29.946440	-51.880123	-38.035221	-10.118583	9.808889	-24.217594	-23.735168	-49.930634	6.637465	11.269027	-8.503956	-2.591994	-36.965328	-48.295002	-21.705553	-43.841103	-1.634344	-34.570820	-51.269009	-32.020771	-25.122995	-38.607872	-32.379025	-9.093925	-30.125484	-24.815292	-20.371309	-20.299221	-30.567118	-48.219551	-40.914604	-58.761822	-35.697838	-35.639545
grew	-28.664885	-15.529741	-28.816477	-24.664074	-22.946314	-23.449518	-24.828272	-28.984123	-20.971252	-23.354046	-34.334267	-25.891768	-29.379200	-28.196329	2.403196	-3.316797	-11.091943	-21.950527	-0.570413	-11.263270	-27.299088	-4.281908	-28.196035	-34.961159	-22.142637	-25.208162	-4.909891	-13.350601	-33.681190	-26.377689	-23.692291	-30.093657	-27.223242	1.526266	9.758926	-6.842472	6.599179	-0.659229	-4.599854	-34.768162	-24.529806	-32.539001	-18.647308	-23.131172
3.39	-34.515697	-13.768414	-51.864689	-20.662733	-40.512619	-37.468925	-27.165518	-21.759136	-33.084053	31.404854	-19.504963	-30.064892	-31.538095	-14.707217	3.979281	-21.781370	-51.032101	-57.076118	2.706064	-17.984921	-36.009693	1.603237	-30.844391	-45.538136	-17.100576	-28.461813	-5.472034	-37.080090	-66.447380	-48.363815	-21.341164	-41.350735	-38.941223	-3.553188	-22.295029	-4.998126	-19.255297	-4.110215	-14.223472	-44.206726	-32.510502	-41.245510	-31.652048	-21.235586
3.03	-35.425381	-11.023455	-49.520195	-27.269083	-40.400192	-36.730717	-17.366776	-21.415783	-27.880405	31.481348	-22.515276	-28.390705	-26.524630	-16.231493	4.767896	-21.498861	-47.857193	-55.336926	3.763894	-7.870670	-27.173429	-1.024264	-31.350561	-42.072216	-14.364288	-27.824642	-6.303917	-41.234997	-65.662727	-44.468803	-21.867846	-35.108467	-36.707706	-3.616620	-20.601656	-5.818989	-14.388062	-2.864710	-17.406206	-48.417473	-29.476530	-39.855267	-22.530508	-17.794281
Prozac	-27.823605	-20.936584	-27.736574	-26.594656	-24.498528	-27.313831	-23.533464	-26.292816	-26.001898	-26.631689	-18.887926	-30.591322	-14.657805	-15.482877	3.204603	-18.148794	-23.506254	-27.462822	4.738401	12.095564	-8.257820	-4.633153	-34.072479	-35.445854	-27.934654	-25.463980	-9.244292	-23.579704	-31.801683	-30.897995	-21.367620	-25.989943	-19.775513	-2.330983	-5.629325	-13.176606	-6.089944	-6.153125	-18.128323	-17.167273	-21.493080	-25.476887	-35.058132	-15.869526
anti-depressant	-35.455708	-25.988201	-34.534870	-27.669979	-19.836391	-43.940742	-32.172848	-27.970392	-34.055798	-23.646261	-21.957657	-34.350895	-26.358072	-21.603109	12.662838	-13.964326	-17.855549	-35.310738	6.372294	-2.858336	-23.796381	-11.025901	-26.182144	-41.820591	-20.897774	-39.104080	-3.962609	-24.115358	-42.262253	-28.875570	-28.715307	-34.814156	-40.159073	-0.616848	-14.373676	-17.182133	-11.372570	-6.795253	-22.993145	-24.144140	-31.138996	-36.164841	-42.075211	-40.567413
drug-sales	-36.662552	-15.092382	-40.858730	-19.035419	-21.622725	-38.757729	-27.896345	-25.941647	-25.904427	-26.322023	-19.165438	-45.046524	-15.375028	-22.001560	3.245681	-10.311905	-9.754004	-48.740818	2.082287	-11.796226	-16.818514	10.344116	-21.214428	-30.543909	-16.694305	-27.643402	-4.663988	-13.698978	-24.334433	-34.885521	-25.758259	-31.408587	-31.176916	-7.001852	-24.346815	-24.903749	-19.993086	-12.453483	-4.511206	-33.519978	-43.213787	-43.533550	-48.834927	-34.883911
Higher	-25.065018	-8.658283	-16.234091	-4.936532	-7.586573	-21.544764	-23.347614	-4.284882	-13.827622	-11.020499	-19.026188	-19.781555	-22.934507	-22.223976	4.949113	15.799078	-7.026280	-16.431778	-2.580234	7.336623	-2.900465	-7.964361	-27.071136	-22.043501	-9.526636	-3.512134	2.674359	3.923287	-36.836864	-21.748034	-18.873344	-24.309532	-13.977749	-7.281998	-16.509371	-22.653118	-12.412154	-14.349860	-20.814028	-17.329298	-21.946905	-27.666887	-20.744083	-12.951481
pesticides	-20.349504	-12.689547	-23.489204	-15.401902	-16.404539	-22.113268	-20.839136	-16.855452	-11.463227	-23.412348	-14.719231	-18.901464	-1.776510	-6.549309	-5.787276	-10.685873	-17.189960	-23.947077	-0.661651	-6.589931	-7.708472	6.730236	-20.706656	-12.132564	-9.851984	-11.531558	-3.263855	-13.122788	-20.277822	-19.146437	-17.565819	-22.756319	-17.493042	-5.947805	-8.059428	-12.747096	-8.563291	-9.172069	4.122878	-23.700626	-21.106363	-21.093258	-31.312302	-14.050820
offset	-13.834811	-13.522015	-10.695571	-15.426506	-14.684474	-13.689887	-17.491066	-17.516968	-16.503546	-10.813591	-8.200939	-12.502559	-2.895016	-3.175853	-0.566684	-12.027583	-8.765941	-3.120611	3.074478	-14.221700	-27.767647	-1.422725	-7.319971	-12.898737	-4.256173	-12.715667	-1.731918	-13.563523	-10.562849	-9.624777	-11.762238	-13.230984	-12.316620	5.855254	3.372532	-1.504449	4.375896	2.743705	-3.264575	-13.615412	-10.838333	-9.839838	-9.990981	-11.888771
slight	-14.967697	-13.331575	-12.688307	-10.794417	-12.999598	-19.845173	-15.100045	-15.186318	-12.002998	-4.855376	-7.433764	-15.596590	-6.066314	-11.413552	5.753299	-2.712717	-2.430989	-7.028523	4.053876	-14.002229	-22.426493	-5.384466	-5.771039	-19.018496	-12.454832	-20.958099	3.226680	-5.062391	-9.563618	-7.388796	-15.975803	-15.920528	-15.708905	1.728965	-1.488162	-3.591388	-2.112136	-0.680908	-9.061008	-9.748124	-15.113346	-19.320671	-17.168299	-18.950790
fuel	-14.772995	-14.302338	-23.008783	-11.500289	-20.260666	-22.660931	-23.403845	-12.464469	-19.736536	-3.942547	-12.417538	-28.418613	-17.273767	-14.657453	2.357053	-18.814312	-11.902148	-25.790134	5.117129	-9.346128	-25.642088	-6.127459	-11.066144	-21.379911	-14.933889	-27.913515	-2.794849	-19.481844	-20.809441	-20.456207	-21.841898	-25.358440	-20.726685	5.036685	-1.611291	-15.196098	-2.085180	1.543360	-10.661230	-20.793350	-26.172903	-22.391958	-25.701601	-25.303114
agricultural	-25.597061	-29.485666	-29.475645	-22.649618	-23.751270	-23.924715	-37.171913	-24.029224	-21.207718	-30.712677	-29.161926	-27.766912	-19.458639	-12.909574	10.557388	-13.173043	-26.095064	-33.186226	6.722447	-6.435784	-32.554031	-11.674882	-7.575502	-31.905304	-20.279524	-31.479824	3.668454	-16.435028	-34.021038	-32.902153	-29.618406	-33.253044	-27.127983	0.744107	-5.343976	-24.716070	-9.399754	-2.816318	-20.963467	-24.899612	-30.232590	-34.890057	-22.979040	-26.222216
product	-22.786539	-19.747421	-24.792408	-26.399704	-21.188330	-21.090488	-30.060322	-29.781862	-13.336634	-15.789719	-24.085648	-31.505983	-12.267941	-10.207663	2.998155	-19.341436	-23.427271	-17.058567	8.409111	-11.251004	-23.277107	-3.595308	-18.233700	-23.271294	-18.107054	-19.448849	-1.188439	-20.750834	-19.931002	-12.123322	-23.750549	-21.706457	-29.870939	5.321972	-3.382705	-11.971932	-1.519933	2.288156	-10.643559	-27.990829	-31.546040	-29.651094	-28.234892	-23.098898
Advanced	-23.144476	-18.188320	-26.290422	-20.116184	-20.560606	-22.505255	-17.711704	-28.370153	-18.347626	-13.315819	-19.011177	-28.585093	-22.488037	-14.508534	3.378753	-28.449207	-23.004566	-21.552811	-2.883820	7.056972	-16.077129	-11.156971	-27.092520	-20.989767	-13.674612	-27.014833	-8.778646	-39.799091	-34.462715	-26.523819	-16.612202	-21.658962	-18.077221	-2.854373	-1.644167	-27.303114	-4.267373	-7.598192	-20.450180	-20.880894	-18.592978	-19.681868	-23.404139	-21.392048
Cardiovascular	-33.118671	-18.396885	-35.055260	-27.262383	-29.723253	-40.368938	-29.579710	-34.258755	-29.680805	-26.182510	-24.197113	-42.335968	-13.389954	-22.108351	8.299372	-15.670928	-24.116297	-24.435663	2.344033	10.460564	-5.791575	-6.710778	-33.956856	-39.165062	-23.768242	-26.071699	-2.614803	-20.995739	-33.229141	-31.782999	-27.604305	-31.684471	-25.256536	-1.723291	-15.654616	-14.523762	-17.306677	-10.452628	-12.918539	-28.138508	-27.752060	-30.161198	-38.525463	-26.999107
Systems	-31.037189	-12.070160	-29.516863	-22.065495	-14.167851	-28.927074	-25.513481	-20.738218	-28.189520	-24.248156	-25.532467	-28.348604	-22.033154	-12.807627	-3.717582	-15.006396	-23.430672	-24.613346	-4.530679	10.670992	9.414626	7.260292	-44.085621	-19.560497	-11.542898	-7.151072	-6.183979	-22.018579	-34.703720	-26.833529	-20.955191	-24.833424	-16.531385	-14.348986	-15.338812	-12.743176	-15.130972	-18.809597	-5.212246	-25.658924	-20.514139	-30.362844	-32.414066	-19.751442
Cardiac	-24.132376	-16.303999	-29.955105	-23.816101	-17.772547	-32.517452	-19.787584	-26.020187	-18.824921	-17.442009	-18.642017	-33.883568	-11.382232	-13.711823	3.391835	-18.029657	-31.142365	-17.760790	4.305891	10.943420	-9.594621	-6.807289	-25.616220	-32.587864	-23.008265	-21.462093	-2.676821	-26.771362	-36.648376	-23.375830	-18.933002	-23.254307	-15.857586	-2.038705	-12.715683	-12.322466	-15.793099	-7.030919	-18.520172	-17.783995	-23.533781	-29.149080	-27.081341	-24.637333
Pacemakers	-27.287313	-12.611458	-31.097038	-21.097084	-18.349356	-19.832188	-21.834955	-26.333681	-24.470877	-19.616304	-20.633707	-21.148411	-19.501629	-15.598224	-3.016213	-18.652744	-23.296240	-36.421059	-1.278677	10.720758	6.983153	4.921160	-31.696339	-25.843956	-13.622604	-19.734831	-5.033359	-20.264214	-31.612276	-32.826065	-20.522060	-20.561510	-20.833796	-10.092199	-18.854465	-18.498549	-20.409906	-15.134833	-9.154955	-33.210308	-32.217968	-32.550888	-35.722301	-22.628990
units	-24.119825	-15.792334	-27.378445	-20.777222	-11.397118	-22.146564	-20.019773	-16.211878	-14.887958	-21.150490	-12.541673	-27.259256	-6.483153	-5.960899	-2.931560	-11.840018	-25.050243	-26.573505	1.825808	-10.021493	-11.239888	7.234391	-22.684225	-16.051340	-9.980146	-11.842162	-4.251250	-16.063877	-25.178186	-16.167500	-20.357338	-24.852135	-19.715321	-7.207782	-11.406748	-15.179435	-13.960482	-10.537861	0.074690	-16.766424	-18.577148	-22.699280	-32.203037	-19.336102
medical-instrument	-30.837000	-21.893333	-37.035366	-25.063658	-25.224060	-45.433479	-52.028763	-22.359732	-29.604010	-46.066708	-32.722290	-52.097095	-26.272268	-14.478548	9.506149	-14.059632	-14.775482	-52.254417	9.080246	-8.983715	-31.113291	1.003486	-39.291008	-39.989861	-22.589779	-48.466595	-3.846075	-29.322670	-25.616653	-31.663563	-31.655918	-38.114277	-49.529926	2.090842	-5.822927	-13.006849	-3.817017	-5.234888	-12.315085	-44.197067	-41.924534	-44.715683	-64.881531	-35.881695
systems	-30.259510	-16.685760	-31.181097	-25.392284	-21.409250	-26.276699	-20.481226	-23.280666	-25.101931	-18.747150	-20.370255	-27.019117	-14.122996	-10.951756	-4.574289	-15.929462	-20.440210	-31.423929	0.624879	-10.393547	-9.278098	9.354588	-29.884853	-17.405819	-9.496370	-10.543118	-7.024385	-25.862564	-22.298937	-22.310970	-24.104519	-28.057980	-20.840611	-8.644075	-11.127542	-9.876998	-12.573523	-9.980911	2.383469	-25.937460	-21.446411	-22.834236	-33.563683	-23.599625
62.25	-18.221497	-11.405514	-30.293869	-18.347809	-24.807421	-25.076775	-25.174776	-13.757621	-25.257765	19.764494	-24.515310	-27.048321	-21.485655	-12.134696	3.687525	-12.014891	-29.841373	-33.984978	5.386147	2.368754	-7.211911	1.541407	-28.650255	-32.990463	-14.662689	-23.880293	-8.315315	-27.100975	-45.118206	-29.746006	-20.925579	-16.317924	-22.024776	-2.824257	-11.112317	-0.117924	-10.901111	-3.211954	-13.417158	-33.261696	-21.762756	-24.942749	-14.021263	-8.324943
12.5	-20.319000	-13.523785	-39.493465	-21.887674	-25.499607	-24.777565	-25.286591	-6.387092	-27.927866	23.575897	-26.889603	-31.503405	-16.106003	-11.694802	1.916306	-20.461676	-33.338257	-32.744514	1.806915	0.573280	-12.601754	-4.659994	-33.634495	-45.639538	-10.820015	-22.815174	-6.780474	-39.082832	-38.342796	-30.154243	-17.019535	-20.034533	-23.327522	-1.896786	-12.676651	-4.285558	-8.835934	-5.977527	-14.204576	-40.439648	-31.347157	-26.463320	-18.543535	-9.190925
Reuben	-19.952810	-14.785498	-12.771124	-11.262902	-11.563975	-20.268106	-17.337267	-17.127762	-14.478462	-8.338430	-16.254343	-18.265291	-26.289366	-15.058022	1.369720	-14.266899	-20.007465	-23.313148	2.680328	7.611438	-7.603035	-5.118473	-23.877188	-20.943716	-8.440622	-18.681587	0.178680	-20.277859	-33.547157	-21.957432	-14.959012	-17.842295	-9.223149	-0.402816	-7.289653	-11.631236	-5.091153	-6.161695	-16.622185	-19.681261	-22.536732	-24.235380	-15.119219	-18.649113
Mark	-16.903357	-13.480438	-17.568060	-17.481894	-17.597067	-16.477190	-20.500978	-18.266191	-17.136610	-18.940817	-12.155462	-23.760391	-18.410433	-17.495201	1.784385	-10.718386	-22.309357	-19.521551	3.414684	10.393955	-5.804802	-6.769839	-17.747135	-15.759711	-16.946739	-11.376341	0.328487	-10.839080	-26.528385	-20.351051	-12.928061	-19.316822	-18.318531	-0.220604	-7.831480	-19.315847	-8.337708	-4.591849	-18.252089	-26.052361	-27.292646	-20.519670	-15.011621	-11.445760
Colgate-Palmolive	-47.606998	-22.928623	-48.642086	-23.255318	-25.201122	-43.133526	-42.683685	-27.528107	-40.628941	-25.795815	-36.740330	-49.856064	-42.055386	-16.816771	10.420593	-24.528290	-38.074726	-35.869362	0.247509	15.808023	-5.377342	-13.013807	-36.896736	-52.833946	-26.157120	-41.398396	-7.414781	-29.657055	-55.573212	-43.985500	-35.914112	-41.071728	-37.992569	0.213169	-25.116858	-25.703671	-21.478226	-8.108486	-28.227789	-42.702847	-39.822418	-67.169220	-46.160732	-38.863358
comfortable	-27.103025	-23.000702	-28.812180	-19.980143	-20.947407	-26.941862	-33.663967	-23.494846	-25.118040	-20.687342	-15.808975	-27.287876	-13.605127	-15.242651	11.179119	-8.654337	-6.670490	-29.889027	5.320299	-14.524680	-34.192757	-7.415905	-15.890905	-35.027645	-19.672861	-25.670486	-1.436310	-16.496124	-19.895390	-29.159199	-24.124863	-30.587193	-28.083134	3.318007	-7.817511	-15.926302	-11.892675	-0.443465	-15.385041	-27.673716	-36.512230	-35.889751	-22.695238	-29.174467
estimates	-17.482986	-11.476139	-20.435030	-15.312469	-16.184315	-18.773832	-18.290680	-14.579350	-16.420013	-19.676287	-18.572681	-20.677177	-4.415199	-9.025272	-6.715242	-15.382532	-14.444700	-19.721767	-0.296249	-9.245934	-7.506951	8.884253	-21.732700	-10.788640	-5.713445	-12.280152	-6.070735	-14.756592	-21.414940	-23.840292	-15.082319	-15.240256	-17.792267	-4.509176	-11.534378	-16.415089	-8.869685	-7.481083	4.335347	-21.164330	-17.484037	-19.327665	-29.188143	-14.089379
between	-22.139463	-21.761694	-22.017927	-19.969818	-17.145052	-17.967869	-19.531967	-28.539253	-17.194063	-7.079077	-17.938206	-31.944210	-18.842798	11.839438	0.685844	-13.347419	-27.995914	-22.242262	0.939897	-6.379235	-35.941345	-10.032974	-33.676819	-25.858725	-7.892028	-16.788816	2.962531	-22.009233	-27.004948	-9.526006	-18.116886	-20.344341	-12.668189	0.672857	-14.639442	-32.097416	-2.986619	-4.031048	-20.744312	-17.255360	-22.342142	-31.586653	-4.833661	-20.351936
95	-25.398371	-18.395828	-52.454933	-25.327806	-42.593174	-41.861050	-29.721704	-12.611407	-51.343624	29.541199	-30.151527	-45.783092	-26.907175	-20.967543	0.857947	-25.449799	-51.285027	-43.563110	6.000926	-12.108909	-30.029814	-10.835606	-26.891691	-52.337879	-8.603186	-30.670706	-7.658133	-34.565144	-62.690609	-48.225830	-29.755800	-33.527935	-30.329071	-1.294647	-18.913618	-6.583859	-13.886074	-3.721638	-26.669453	-47.876610	-42.944328	-36.382599	-29.397770	-31.223738
1.05	-23.377632	-6.934304	-42.339966	-23.911957	-32.394299	-27.039450	-14.278760	-11.270183	-22.767889	23.266991	-25.355944	-33.179947	-23.971643	-17.987606	2.407722	-15.141428	-46.160465	-48.898823	1.297201	5.403866	-8.031974	-0.118093	-27.091330	-36.071045	-15.108458	-24.994099	-4.531630	-32.504364	-66.484070	-44.001633	-22.710176	-26.207582	-30.731401	-6.454183	-22.245113	-12.607107	-18.315260	-3.830412	-14.661370	-47.908501	-26.026728	-31.398081	-25.046459	-15.814121
compares	-25.735777	-18.293983	-33.001068	-22.588644	-25.424091	-24.419239	-31.310381	-28.377110	-26.103449	-28.906103	-23.048199	-34.136055	-5.969345	-13.822591	-6.675154	-22.217819	-12.509529	-20.999012	1.084965	-17.121990	-17.398827	8.188859	-24.939295	-22.388252	-17.004822	-17.560793	-3.908002	-22.402731	-14.994823	-29.595259	-23.983585	-17.666767	-22.564095	-2.915997	-10.373838	-14.845192	-7.132547	-6.094805	9.865411	-19.328529	-22.952179	-24.424204	-32.782875	-27.137955
operations	-20.127220	-14.936214	-31.049307	-17.548504	-18.806173	-18.912624	-18.299807	-18.436077	-20.597065	-15.837742	-17.206949	-27.940027	-2.400209	-10.600556	-2.113105	-16.539988	-17.011389	-24.649300	-1.832208	-5.441730	-7.621665	8.097128	-22.580038	-11.237143	-14.442726	-13.390082	-6.869224	-16.693230	-13.789574	-26.685715	-15.750515	-17.739849	-12.797940	-8.246010	-9.181809	-12.438690	-10.887121	-10.867050	2.231021	-18.676222	-16.036232	-22.323368	-35.326397	-14.973834
discontinued	-17.090376	-19.043716	-18.087145	-21.070364	-16.857260	-19.330435	-15.495568	-24.311256	-10.978294	-6.250673	-16.580940	-16.841978	-10.751283	-12.235745	4.999713	-17.080883	-16.243942	-11.557515	-1.532182	-10.930323	-28.523470	-10.053899	-17.379356	-20.778910	-11.151047	-16.216923	-4.420113	-24.667719	-24.183493	-19.287388	-17.586651	-22.035217	-14.489547	1.810505	7.609553	-15.580199	8.135833	-2.765953	-11.983926	-14.678352	-15.154114	-13.601044	-15.099380	-19.507195
